popular_similar_charities,rated_similar_charities,charity_url,charity_phoneNumber,charity_Name,homepage_Link,transperancy_Stars,agent_contactEmail,overall_starRating,charity_address
"Step Up For Students,UNCF,American Indian College Fund,Thanks USA","Point Foundation,Scholarship America,Take Stock in Children,SHRM Foundation",,"
			tel: (609) 452-7007",Woodrow Wilson National Fellowship Foundation,http://www.woodrow.org,93.00,,92.50,"
		
			Five Vaughn Drive,
			Suite  300, Princeton, NJ 08540"
"FJC,Christian Ministries Foundation,Barnabas Foundation,InFaith Community Foundation","Barnabas Foundation,InFaith Community Foundation,The Generosity Trust,FJC",, fax: (914) 632-5502,Woodlawn Foundation,http://www.woodlawnfoundation.org,93.00,,88.03,"
		
			524 North Avenue,
			New Rochelle, NY 10801    ,
			tel: (914) 632-3778"
"Wikimedia Foundation,Food and Water Watch,The Heritage Foundation,United States Justice Foundation","Atlas Economic Research Foundation (Atlas Network),Institute for Energy Research,Kentucky Youth Advocates,Wikimedia Foundation",,"
			tel: (202) 691-4172",Woodrow Wilson International Center for Scholars,http://www.WilsonCenter.org,92.00,,80.65,"
		
			One Woodrow Wilson Plaza,
			1300 Pennsylvania Avenue, NW, Washington, DC 20004"
"The Museum of Modern Art,National Museum of Women in the Arts,Albright-Knox Art Gallery,MASS MoCA","Eiteljorg Museum of American Indians and Western Art, Inc.,Solomon R. Guggenheim Foundation,Whitney Museum of American Art,San Francisco Museum of Modern Art",, fax: (215) 247-2387,Woodmere Art Museum,http://www.woodmereartmuseum.org/,100.00,,93.48,"
		
			9201 Germantown Avenue,
			Philadelphia, PA 19118,
			tel: (215) 247-7224"
"The Imus Ranch,Camp Quality USA,The Hole in the Wall Gang Fund,Camp Sunshine, Maine","Camp Summit,Camp John Marc,Camp For All,The Hole in the Wall Gang Fund",, fax: (724) 935-6511,The Woodlands,http://woodlandsfoundation.org/index.php,89.00,,74.49,"
		
			134 Shenot Road,
			Wexford, PA 15090,
			tel: (724) 935-6533"
"ACCION San Diego,Accion East ,Green America,ACCION New Mexico","ACCION New Mexico,Tides Center,Washington Community Alliance for Self-Help,Opportunity Fund Northern California",,"
			tel: (312) 853-3477",Women's Business Development Center,http://www.wbdc.org,93.00,,91.12,"
		
			8 South Michigan Avenue,
			4th Floor, Chicago, IL 60603"
"Christian Appalachian Project,Baby Buggy,Society of St. Vincent de Paul of Portland, Oregon,Society of St. Vincent de Paul - Phoenix","OUR Center,Barnabas Center,CAST,Eagles Youth Partnership",,"
			tel: (215) 985-3322",Women's Way,http://www.womensway.org,93.00,,79.88,"
		
			123 South Broad Street,
			Suite 1399, Philadelphia, PA 19109"
"National Stroke Association,The Larry King Cardiac Foundation","American Heart Association,National Stroke Association,American Heart Association,Heart Support of America",,"
			tel: (202) 728-7199",WomenHeart,http://www.womenheart.org/,92.00,,82.60,"
		
			818 Eighteenth Street, NW,
			Suite 930, Washington, DC 20006"
"Wildlife Conservation Society,San Diego Zoo Global,Blank Park Zoo,Cincinnati Zoo & Botanical Garden","Tulsa Zoo Friends,Sacramento Zoo,Zoo Atlanta,Central Florida Zoo & Botanical Gardens",, fax: (206) 632-2718,Woodland Park Zoo,http://www.zoo.org,90.00,,85.34,"
		
			601 North 59th Street,
			Seattle, WA 98103    ,
			tel: (206) 548-2646"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","International Mountain Bicycling Association,Utah Sports Commission,Tiger Athletic Foundation,PeacePlayers International",,"
			tel: (800) 227-3988",Women's Sports Foundation,http://www.womenssportsfoundation.org,96.00,,76.95,"
		
			1899 Hempstead Turnpike,
			Suite 400, East Meadow, NY 11554"
"Boys Town,Covenant House,Cal Farley's,Austin Children's Services","KidsTLC,Atlanta Children's Shelter,Bethesda Academy,Paul Anderson Youth Home",, fax: (361) 884-2006,Women's Shelter of South Texas,http://www.thewomensshelter.org/,Not yet scored or rated,,85.26,"
		
			813 Buford Street,
			Corpus Christi, TX 78404,
			tel: (361) 884-2900"
"Rape, Abuse & Incest National Network,Shelter for Abused Women & Children,The Blue Bench,The Family Place","SafePlace,The Women's Center, Wisconsin,The Center for Women and Families,HAVEN",, fax: (570) 424-2094,Women's Resources of Monroe County,,74.00,,75.42,"
		
			225 J. Wilson Drive,
			Delaware Water Gap, PA 18327,
			tel: (570) 424-2093"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Central Iowa,United Way of Kitsap County,United Way of Northeast Florida,United Way of Mower County",,"
			tel: (320) 252-0227",United Way of Central Minnesota,http://unitedwayhelps.org/,97.00,,82.38,"
		
			3001 Clearwater Road,
			Suite 201, St. Cloud, MN 56301"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of San Diego County,United Way of Central and Northeastern Connecticut,United Way of Greater Lorain County,Salina Area United Way",, fax: (508) 757-2712,United Way of Central Massachusetts,http://www.unitedwaycm.org/,100.00,,86.20,"
		
			484 Main Street,
			Worcester, MA 01608,
			tel: (508) 757-5631"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Northern New Jersey,United Way of Midland County,United Way of Greater Baytown Area & Chambers County,United Way of Douglas County",, fax: (732) 247-9855,United Way of Central Jersey,http://www.uwcj.org/,92.00,,92.45,"
		
			32 Ford Avenue,
			Milltown, NJ 08850,
			tel: (732) 247-3727"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Southeastern Connecticut,United Way of Southern Chester County,United Way of Allegheny County,Tulsa Area United Way",, fax: (317) 921-1355,United Way of Central Indiana,http://www.uwci.org,100.00,,91.16,"
		
			3901 North Meridian Street,
			Indianapolis, IN 46208    ,
			tel: (317) 923-1466"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Cascade County,United Way of Metropolitan Atlanta,Valley of the Sun United Way,United Way of the Capital Region",,"
			tel: (217) 726-7000",United Way of Central Illinois,http://www.springfieldunitedway.org,96.00,,86.02,"
		
			1999 Wabash Avenue,
			Suite 107, Springfield, IL 62704"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Midland County,Tulsa Area United Way,United Way of the Chattahoochee Valley,United Way of Mower County",,"
			tel: (515) 246-6520",United Way of Central Iowa,http://www.unitedwaydm.org,100.00,,91.47,"
		
			1111 Ninth Street,
			Suite 100, Des Moines, IA 50314    "
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Northeast Florida,United Way Suncoast,United Way of Brazoria County,United Way of Central West Virginia",, fax: (860) 493-6859,United Way of Central and Northeastern Connecticut,http://www.unitedwayinc.org,100.00,,87.12,"
		
			30 Laurel Street,
			Hartford, CT 06106    ,
			tel: (860) 493-6854"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","Greater Gallatin United Way,United Way of the Battle Creek and Kalamazoo Region,United Way of Portage County, OH,United Way of Central Alabama",," 
            ",United Way of Central Florida,http://www.uwcf.org/,100.00,,97.48,"
		
			5605 US Highway 98, S,
			Highland City, FL 33846,
			tel: (863) 648-1500"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Williamson County,United Way of Greater New Haven,United Way of Central Ohio,United Way of Bartholomew County",,"
			tel: (478) 745-4732",United Way of Central Georgia,http://www.unitedwaycg.org,85.00,,76.08,"
		
			277 MLK Jr. Blvd, Ste. 301,
			P. O. Box 1302, Macon, GA 31202"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way Worldwide,United Way of St. Joseph County,United Way of Lee, Hendry, Glades, and Okeechobee,United Way of Berks County",,"
			tel: (315) 253-9741",United Way of Cayuga County,http://www.unitedwayofcayugacounty.org,96.00,,83.69,"
		
			17 East Genesee Street,
			Suite 2, Auburn, NY 13021"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of the Ohio Valley,United Way of Greater Kingsport,United Way of the Columbia-Willamette,United Way of Greenville County",, fax: (717) 243-8005,United Way of Carlisle & Cumberland County,http://www.carlisleunitedway.org,92.00,,90.54,"
		
			145 South Hanover Street,
			Carlisle, PA 17013,
			tel: (717) 243-4805"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Alamance County,United Way of Charlotte County,United Way of Central Indiana,Valley of the Sun United Way",,"
			tel: (406) 727-3400",United Way of Cascade County,http://www.uwccmt.org/,89.00,,86.17,"
		
			417 Central Avenue, Suite 320,
			P O Box 1343, Great Falls, MT 59403"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Northeast Louisiana,Fondos Unidos de Puerto Rico,Greater Mankato Area United Way,United Way of Greater New Bedford",,"
			tel: (205) 251-5131",United Way of Central Alabama,http://www.uwca.org,100.00,,97.10,"
		
			3600 Eighth Avenue, S,
			P.O. Box 320189, Birmingham, AL 35232"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Delaware County,United Way of Buffalo & Erie County,United Way of Alamance County,United Way of Greater Kansas City",,"
			tel: (701) 237-5050",United Way of Cass-Clay,http://www.uwcc.net,100.00,,97.89,"
		
			219 7th Street south,
			P.O. Box 1609, Fargo, ND 58107"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Tarrant County,United Way of Bartholomew County,United Way of Greater Lorain County,United Way of the Capital Area, Mississippi",, fax: (724) 287-1470,United Way of Butler County,http://www.butlerunitedway.org/,100.00,,93.45,"
		
			184 Pittsburgh Road,
			Butler, PA 16001,
			tel: (724) 285-4883"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Central West Virginia,Salina Area United Way,United Way of Central New Mexico,United Way of Central Illinois",, fax: (410) 535-8987,United Way of Calvert County,http://www.unitedwaycalvert.org,96.00,,88.18,"
		
			P.O. Box 560,
			Prince Frederick, MD 20678,
			tel: (410) 286-0100"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Hunterdon County,Cedar Valley United Way,United Way of Central and Northeastern Connecticut,United Way of Northern Utah",,"
			tel: (410) 547-8000",United Way of Central Maryland,http://www.uwcm.org,93.00,,84.72,"
		
			100 South Charles Street, 5th Floor,
			P.O. Box 1576, Baltimore, MD 21203    "
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Chittenden County,United Way of Northern Utah,United Way of Northern New Mexico,United Way of Central Indiana",," 
            ",United Way of Buffalo & Erie County,http://www.uwbec.org/,93.00,,89.50,"
		
			742 Delaware Avenue,
			Buffalo, NY 14209,
			tel: (716) 887-2626"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","Valley of the Sun United Way,United Way - Thomas Jefferson Area,United Way of Bartholomew County,United Way of Williamson County",, fax: (954) 462-4877,United Way of Broward County,http://www.unitedwaybroward.org/,96.00,,89.38,"
		
			1300 South Andrews Avenue,
			Fort Lauderdale, FL 33316,
			tel: (954) 462-4850"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Lake County, IL,United Way Silicon Valley,United Way of Central and Northeastern Connecticut,United Way of Northeast Florida",, fax: (215) 949-0373,United Way of Bucks County,http://www.uwbucks.org/,93.00,,93.24,"
		
			413 Hood Boulevard,
			Fairless Hills, PA 19030,
			tel: (215) 949-1660"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Lee, Hendry, Glades, and Okeechobee,United Way of the Ozarks,United Way of Alamance County,United Way Suncoast",, fax: (607) 240-2002,United Way of Broome County,http://www.unitedwaybroome.org/,96.00,,87.81,"
		
			101 South Jensen Road,
			Vestal, NY 13850,
			tel: (607) 240-2000"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Pioneer Valley,Cedar Valley United Way,United Way of Lake & Sumter Counties,Greater Gallatin United Way",,"
			tel: (423) 968-4912",United Way of Bristol,,89.00,,90.92,"
		
			P.O. Box 696,
			315 Eighth Street, Bristol, TN 37620"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of San Antonio and Bexar County,United Way of the Capital Area, Mississippi,Lake Area United Way,United Way of Dane County",, fax: (865) 981-4084,United Way of Blount County,http://www.liveunitedblount.org,96.00,,89.83,"
		
			1615 E. Broadway Avenue,
			Maryville, TN 37804,
			tel: (865) 982-2251"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of the Quad Cities Area,United Way of Cass-Clay,United Way for Southeastern Michigan,United Way - Thomas Jefferson Area",, fax: (321) 631-2007,United Way of Brevard,http://uwbrevard.org,100.00,,94.13,"
		
			937 Dixon Boulevard,
			Cocoa, FL 32922,
			tel: (321) 631-2740"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Northwest Georgia,United Way of Lake County,United Way of Metropolitan Atlanta,United Way of the Plains",,"
			tel: (979) 849-9402",United Way of Brazoria County,http://www.uwbc.org,100.00,,92.48,"
		
			4005 Technology Road,
			Suite 1020, Angleton, TX 77515"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Central Illinois,United Way of Roanoke Valley,United Way of Utah County,United Way of Massachusetts Bay and Merrimack Valley",,"
			tel: (423) 479-2020",United Way of Bradley County,http://www.unitedwaybc.com,93.00,,93.13,"
		
			85 Ocoee St. S.E.,
			P.O. Box 193, Cleveland, TN 37364"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of the Black Hills,United Way of Central Illinois,Fondos Unidos de Puerto Rico,Heart of Florida United Way",, fax: (610) 685-4569,United Way of Berks County,http://www.uwberks.org/,97.00,,85.88,"
		
			501 Washington Street,
			Reading, PA 19603,
			tel: (610) 685-4562"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","Trident United Way,United Way of the Chattahoochee Valley,United Way of Allegheny County,United Way of Central Virginia",, fax: (509) 735-7005,United Way of Benton and Franklin Counties,http://www.unitedway-bfco.com,100.00,,91.67,"
		
			401 North Young Street,
			Kennewick, WA 99336,
			tel: (509) 783-4102"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Wyandotte County,United Way of Lee, Hendry, Glades, and Okeechobee,United Way of Southeastern Pennsylvania,United Way of Central Jersey",,"
			tel: (989) 893-7508",United Way of Bay County,http://unitedwaybaycounty.org/,89.00,,88.90,"
		
			909 Washington Avenue,
			Suite 2, Bay City, MI 48708"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of the Coastal Empire,United Way of Hancock County,United Way of Lee, Hendry, Glades, and Okeechobee,United Way of Collier County",," 
            ",United Way of Baldwin County,http://www.unitedway-bc.org/,86.00,,86.10,"
		
			700 North McKenzie Street,
			Foley, AL 36536,
			tel: (251) 943-2110"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way California Capital Region,United Way of the Chattahoochee Valley,United Way of the Plains,Greater Twin Cities United Way",,"
			tel: (412) 261-6010",United Way of Allegheny County,http://www.unitedwaypittsburgh.org/,100.00,,94.06,"
		
			1250 Penn Avenue,
			P.O. Box 735, Pittsburgh, PA 15230"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Southern Nevada,United Way of Greater Knoxville,United Way - Thomas Jefferson Area,United Way of the Battle Creek and Kalamazoo Region",,"
			tel: (812) 376-3001",United Way of Bartholomew County,http://www.uwbarthco.org/,100.00,,92.06,"
		
			1531 Thirteenth Street,
			Suite 1100, Columbus, IN 47201"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Siouxland,United Way of Bradley County,United Way of Greater St. Louis,United Way of the Lakeshore",, fax: (864) 226-3430,United Way of Anderson County,http://www.unitedwayofanderson.org/,96.00,,95.95,"
		
			604 North Murray Avenue,
			Anderson, SC 29621,
			tel: (864) 226-3438"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Mower County,United Way of Northeast Florida,United Way of Northern Utah,United Way of Blount County",,"
			tel: (907) 263-3800",United Way of Anchorage,http://www.liveunitedanchorage.org,100.00,,92.94,"
		
			701 West Eighth Avenue,
			Suite 230, Anchorage, AK 99501"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Central New York,Orange County United Way,United Way of Chittenden County,United Way of Central Massachusetts",,"
			tel: (803) 648-8331",United Way of Aiken County,http://www.uwaiken.org/,93.00,,92.67,"
		
			235 Barnwell Avenue, NW,
			PO Box 699, Aiken, SC 29802"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Greater Kansas City,United Way of the Capital Area, Mississippi,United Way of Acadiana,United Way of Chittenden County",, fax: (260) 422-4782,United Way of Allen County,http://unitedwayallencounty.org,93.00,,87.59,"
		
			334 East Berry Street,
			Fort Wayne, IN 46802,
			tel: (260) 422-4776"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Norman,United Way of Berks County,United Way of Greater Cincinnati,United Way of Greater Kansas City",,"
			tel: (336) 438-2000",United Way of Alamance County,http://www.uwalamance.org,92.00,,86.29,"
		
			803 Hermitage Road,
			P.O. Box 1268, Burlington, NC 27216"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of the Capital Region,United Way of Lancaster County,United Way of the Quad Cities Area,United Way of Blount County",, fax: (337) 233-8380,United Way of Acadiana,,96.00,,94.52,"
		
			215 East Pinhook Road,
			Lafayette, LA 70501,
			tel: (337) 233-8302"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of York County,United Way of Central Florida,United Way of Charlotte County,United Way of Washtenaw County",, fax: (920) 954-7209,United Way Fox Cities,http://www.unitedwayfoxcities.org/,96.00,,94.94,"
		
			1455 Midway Road,
			Menasha, WI 54952,
			tel: (920) 954-7210"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of San Diego County,United Way of the Lowcountry,United Way of Greater Milwaukee,United Way of Portage County, OH",,"
			tel: (313) 226-9411",United Way for Southeastern Michigan,http://www.liveunitedsem.org/,100.00,,92.61,"
		
			660 Woodward Avenue,
			Suite 300, Detroit, MI 48226"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of West Alabama,United Way of Central Virginia,United Way of Frederick County,United Way of Buffalo & Erie County",,"
			tel: (985) 879-2461",United Way for South Louisiana,http://www.uwsla.com/,82.00,,75.55,"
		
			7910 Main Street,
			Suite 460, Houma, LA 70360"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of San Diego County,United Way of Pioneer Valley,United Way of Kitsap County,United Way of Treasure Valley",, fax: (228) 762-7669,United Way for Jackson & George Counties,http://unitedwayjgc.org/,100.00,,91.41,"
		
			3510 Magnolia Street,
			Pascagoula, MS 39567,
			tel: (228) 762-7662"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Cass-Clay,United Way of Blount County,United Way of Metropolitan Atlanta,United Way of the Quad Cities Area",, fax: (512) 482-8309,United Way for Greater Austin,http://www.unitedwayaustin.org/,100.00,,82.95,"
		
			2000 East MLK Jr. Boulevard,
			Austin, TX 78702,
			tel: (512) 472-6267"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Greater Cincinnati,United Way of Greater Cleveland,Salina Area United Way,United Way of King County",,"
			tel: (608) 757-3040",United Way Blackhawk Region,http://www.uwnrc.org/,96.00,,85.37,"
		
			205 North Main Street,
			Suite 101, Janesville, WI 53545"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","Fondos Unidos de Puerto Rico,United Way of Williamson County,United Way of St. Joseph County,United Way of Greater Cleveland",, fax: (916) 368-3029,United Way California Capital Region,http://www.yourlocalunitedway.org/,100.00,,93.19,"
		
			10389 Old Placerville Road,
			Sacramento, CA 95827,
			tel: (916) 368-3026"
"United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way,Greater Twin Cities United Way","United Way of Calvert County,Tulsa Area United Way,United Way of Central Massachusetts,United Way of Salt Lake",," 
            ",United Way Worldwide,http://www.unitedway.org,100.00,,92.99,"
		
			701 North Fairfax Street,
			Alexandria, VA 22314    ,
			tel: (703) 836-7112"
"Human Rights Watch,Amnesty International USA,International Justice Mission,Polaris Project","Physicians for Human Rights,V-Day,International Center for Research on Women,International Justice Mission",,"
			tel: (202) 556-2100",United to End Genocide,http://endgenocide.org/,96.00,,71.42,"
		
			1025 Connecticut Avenue, NW,
			Suite 310, Washington, DC 20036"
"Palestine Children's Relief Fund,Invisible Children,United Palestinian Appeal, Inc.,Sudan Relief Fund","India Development and Relief Fund,Camfed USA,Haitian Health Foundation,Beyond Borders",, fax: (215) 728-1631,United Ukrainian American Relief Committee,http://www.uuarc.org,70.00,,73.92,"
		
			1206 Cottman Avenue,
			Philadelphia, PA 19111,
			tel: (215) 728-1630"
"United Way Worldwide,United Way of Metropolitan Atlanta,United Way of the Midlands, Nebraska,Aloha United Way","United Way of Hancock County,United Way of Indian River County,United Way of Massachusetts Bay and Merrimack Valley,United Way of Odessa",, fax: (434) 972-1719,United Way - Thomas Jefferson Area,http://www.unitedwaytja.org/,100.00,,84.95,"
		
			806 East High Street,
			Charlottesville, VA 22902,
			tel: (434) 972-1701"
"First Book,Reading Is Fundamental,Reading Partners,ProLiteracy ","Literacy Partners,Ferst Foundation for Childhood Literacy,Mercy Learning Center of Bridgeport,First Book",,"
			tel: (858) 481-7323",United Through Reading,http://www.unitedthroughreading.org,93.00,,88.57,"
		
			11750 Sorrento Valley Road,
			Suite 100, San Diego, CA 92121"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Olympic Committee","International Mountain Bicycling Association,Maccabi USA/Sports for Israel,Challenged Athletes Foundation,Adaptive Sports Foundation",,"
			tel: (202) 872-9277",United States Soccer Foundation,http://www.ussoccerfoundation.org,97.00,,96.83,"
		
			1211 Connecticut Avenue, NW,
			Suite 500, Washington, DC 20036"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","Utah Sports Commission,Maccabi USA/Sports for Israel,International Mountain Bicycling Association,National Ability Center",, fax: (609) 924-1578,United States Rowing Association,http://www.usrowing.org/index.aspx,97.00,,93.95,"
		
			2 Wall Street,
			Princeton, NJ 08540,
			tel: (800) 314-4769"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","Good Sports,Maccabi USA/Sports for Israel,International Mountain Bicycling Association,Tiger Athletic Foundation",," 
            ",United States Olympic Committee,http://www.teamusa.org/,93.00,,84.78,"
		
			One Olympic Plaza,
			Colorado Springs, CO 80909    ,
			tel: (800) 775-8762"
"West Point Association of Graduates,Naval War College Foundation","Naval War College Foundation,West Point Association of Graduates,Association of Graduates of the United States Air Force Academy,Association of Graduates of the United States Air Force Academy",,"
			tel: (516) 482-3082",United States Merchant Marine Academy Alumni Foundation,http://www.usmmaaf.com,92.00,,74.15,"
		
			14 Bond Street,
			#1000, Great Neck, NY 11021"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","Good Sports,Tiger Athletic Foundation,New York Road Runners,Higher Ground Sun Valley",, fax: (518) 523-4106,United States Luge Association,http://www.usaluge.org/,92.00,,74.86,"
		
			57 Church Street,
			Lake Placid, NY 12946,
			tel: (518) 523-2071"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","United States Rowing Association,United States Soccer Foundation,Utah Sports Commission,International Mountain Bicycling Association",, fax: (908) 234-9687,United States Golf Association,http://www.usga.org,90.00,,84.73,"
		
			P.O. Box 708,
			Far Hills, NJ 07931    ,
			tel: (908) 234-2300"
"Wikimedia Foundation,Food and Water Watch,The Heritage Foundation,Council for a Strong America","Robert F. Kennedy Center for Justice & Human Rights,Institute on Taxation and Economic Policy,Wikimedia Foundation,Drug Policy Alliance",,"
			tel: (760) 788-6624",United States Justice Foundation,http://www.usjf.net,64.00,,69.76,"
		
			932 D Street,
			Suite 2, Ramona, CA 92065"
"Wikimedia Foundation,Food and Water Watch,The Heritage Foundation,United States Justice Foundation","Strategies for the Global Environment,Children's Alliance,Robert F. Kennedy Center for Justice & Human Rights,Institute for Policy Studies",,"
			tel: (800) 959-5151",United States Hispanic Leadership Institute,http://ushli.org/,69.00,,77.66,"
		
			431 South Dearborn Street,
			Suite 1203, Chicago, IL 60605"
Florida Holocaust Museum,"Holocaust Museum Houston,Florida Holocaust Museum,Holocaust Museum Houston,Museum of Jewish Heritage - A Living Memorial to the Holocaust",, fax: (202) 488-2632,United States Holocaust Memorial Museum,http://www.ushmm.org,97.00,,88.23,"
		
			100 Raoul Wallenberg Place, SW,
			Washington, DC 20024    ,
			tel: (866) 998-7466"
"United Nations Foundation,USA for UNHCR,World Food Program USA,Friends of UNFPA","International Peace Institute,United Nations Foundation,NetHope,Friends of UNFPA",, fax: (212) 779-1679,United States Fund for UNICEF,http://www.unicefusa.org,97.00,,93.69,"
		
			125 Maiden Lane,
			New York, NY 10038,
			tel: (800) 367-5437"
"Adaptive Sports Foundation,New York Road Runners,Challenged Athletes Foundation,United States Soccer Foundation","Little League Baseball,Utah Sports Commission,Higher Ground Sun Valley,United States Soccer Foundation",,"
			tel: (908) 234-1251",United States Equestrian Team Foundation,http://www.uset.org/,90.00,,91.23,"
		
			1040 Pottersville Road,
			P.O. Box 355, Gladstone, NJ 07934"
"ASU Foundation,The Alumni Association of the University of Virginia,Alumni Association of Kansas State University,Boston Latin School Association","Consortium for Graduate Study in Management,Kansas University Alumni Association,ASU Foundation,The Alumni Association of the University of Virginia",, fax: (860) 442-2690,United States Coast Guard Academy Alumni Association,,93.00,,75.62,"
		
			47 Mohegan Avenue,
			New London, CT 06320,
			tel: (860) 442-2683"
"Firefighters Charitable Foundation,Police Protective Fund,American Federation of Police and Concerned Citizens,The Association for Firefighters & Paramedics","New York City Police Foundation,Correctional Peace Officers Foundation,FDNY Foundation,Concerns of Police Survivors",,"
			tel: (866) 933-7889",United States Deputy Sheriff's Association,http://www.usdsa.org/,60.00,,23.84,"
		
			1304 Langham Creek Drive,
			Suite 324, Houston, TX 77084"
